DDP: I am worker 0 of 1. My local rank is 0
=> Dummy data is used!
start training
[METRIC] [2024-06-22T06:53:21.777332] Step 75 Rank 0 processed 400 samples in 0.4400 seconds
[METRIC] [2024-06-22T06:53:22.219245] Step 76 Rank 0 processed 400 samples in 0.4419 seconds
[METRIC] [2024-06-22T06:53:22.659221] Step 77 Rank 0 processed 400 samples in 0.4399 seconds
[METRIC] [2024-06-22T06:53:23.099896] Step 78 Rank 0 processed 400 samples in 0.4406 seconds
[METRIC] [2024-06-22T06:53:23.540462] Step 79 Rank 0 processed 400 samples in 0.4405 seconds
[METRIC] [2024-06-22T06:53:23.981892] Step 80 Rank 0 processed 400 samples in 0.4414 seconds
[METRIC] [2024-06-22T06:53:24.421759] Step 81 Rank 0 processed 400 samples in 0.4398 seconds
[METRIC] [2024-06-22T06:53:24.864538] Step 82 Rank 0 processed 400 samples in 0.4427 seconds
[METRIC] [2024-06-22T06:53:25.304002] Step 83 Rank 0 processed 400 samples in 0.4394 seconds
[METRIC] [2024-06-22T06:53:25.743706] Step 84 Rank 0 processed 400 samples in 0.4397 seconds
[METRIC] [2024-06-22T06:53:26.187604] Step 85 Rank 0 processed 400 samples in 0.4438 seconds
[METRIC] [2024-06-22T06:53:26.626440] Step 86 Rank 0 processed 400 samples in 0.4388 seconds
[METRIC] [2024-06-22T06:53:27.067188] Step 87 Rank 0 processed 400 samples in 0.4407 seconds
[METRIC] [2024-06-22T06:53:27.510049] Step 88 Rank 0 processed 400 samples in 0.4428 seconds
[METRIC] [2024-06-22T06:53:27.949161] Step 89 Rank 0 processed 400 samples in 0.4391 seconds
[METRIC] [2024-06-22T06:53:28.389915] Step 90 Rank 0 processed 400 samples in 0.4407 seconds
[METRIC] [2024-06-22T06:53:28.830947] Step 91 Rank 0 processed 400 samples in 0.4410 seconds
[METRIC] [2024-06-22T06:53:29.272377] Step 92 Rank 0 processed 400 samples in 0.4414 seconds
